"Prov.State","Country","Lat","Long","Date","Confirmed","Deaths","Recovered"
"","Albania",41.1533,20.1683,2020-03-23 08:00:00,104,4,2
"","Albania",41.1533,20.1683,2020-03-24 08:00:00,123,5,10
"","Albania",41.1533,20.1683,2020-03-25 08:00:00,146,5,17
"","Albania",41.1533,20.1683,2020-03-26 08:00:00,174,6,17
"","Albania",41.1533,20.1683,2020-03-27 08:00:00,186,8,31
"","Albania",41.1533,20.1683,2020-03-28 08:00:00,197,10,31
"","Albania",41.1533,20.1683,2020-03-29 08:00:00,212,10,33
"","Albania",41.1533,20.1683,2020-03-30 08:00:00,223,11,44
"","Albania",41.1533,20.1683,2020-03-31 08:00:00,243,15,52
"","Albania",41.1533,20.1683,2020-04-01 08:00:00,259,15,67
"","Albania",41.1533,20.1683,2020-04-02 08:00:00,277,16,76
"","Albania",41.1533,20.1683,2020-04-03 08:00:00,304,17,89
"","Albania",41.1533,20.1683,2020-04-04 08:00:00,333,20,99
"","Albania",41.1533,20.1683,2020-04-05 08:00:00,361,20,104
"","Albania",41.1533,20.1683,2020-04-06 08:00:00,377,21,116
"","Albania",41.1533,20.1683,2020-04-07 08:00:00,383,22,131
"","Albania",41.1533,20.1683,2020-04-08 08:00:00,400,22,154
"","Albania",41.1533,20.1683,2020-04-09 08:00:00,409,23,165
"","Albania",41.1533,20.1683,2020-04-10 08:00:00,416,23,182
"","Albania",41.1533,20.1683,2020-04-11 08:00:00,433,23,197
"","Albania",41.1533,20.1683,2020-04-12 08:00:00,446,23,217
"","Albania",41.1533,20.1683,2020-04-13 08:00:00,467,23,232
"","Albania",41.1533,20.1683,2020-04-14 08:00:00,475,24,248
"","Albania",41.1533,20.1683,2020-04-15 08:00:00,494,25,251
"","Albania",41.1533,20.1683,2020-04-16 08:00:00,518,26,277
"","Albania",41.1533,20.1683,2020-04-17 08:00:00,539,26,283
"","Albania",41.1533,20.1683,2020-04-18 08:00:00,548,26,302
"","Albania",41.1533,20.1683,2020-04-19 08:00:00,562,26,314
"","Albania",41.1533,20.1683,2020-04-20 08:00:00,584,26,327
"","Albania",41.1533,20.1683,2020-04-21 08:00:00,609,26,345
"","Albania",41.1533,20.1683,2020-04-22 08:00:00,634,27,356
"","Albania",41.1533,20.1683,2020-04-23 08:00:00,663,27,385
"","Albania",41.1533,20.1683,2020-04-24 08:00:00,678,27,394
"","Albania",41.1533,20.1683,2020-04-25 08:00:00,712,27,403
"","Albania",41.1533,20.1683,2020-04-26 08:00:00,726,28,410
"","Algeria",28.0339,1.6596,2020-01-22 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-01-23 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-01-24 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-01-25 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-01-26 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-01-27 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-01-28 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-01-29 07:00:00,0,0,0
